,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
70,산 텔모 리저브 샤르도네,SAN TELMO RESERVE CHARDONNAY,White,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),13.9%,샤르도네(CHARDONNAY) 100%,,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2624
71,산 필리포 로소 디 몬탈치노 로 스코르노,SAN FILIPPO ROSSO DI MONTALCINO LO SCORNO,Red,이탈리아,몬탈치노,산 필리포,14.5%,산지오베제 100%,,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2048
72,산타 아나 클래식 말벡,SANTA ANA CLASSIC MALBEC,Red,아르헨티나,멘도자,보데가 산타 아나,13%,말벡 100%,,3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1843
73,샤또 비뇨 생테밀리옹 그랑 크뤼,CHATEAU VIGNOT SAINT EMILION GRAND CRU,Red,프랑스,"보르도, 생테밀리옹",잭슨 패밀리 와인즈,-,"메를로 70%, 카베르네 프랑 30%",,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1722
74,셀리에 데 프린스 꼬뜨 뒤 론 그랑 리저브,CELLIER DES PRINCES CDR GRAND RESERVE,Red,프랑스,"남부 론 (Southern Rhone), 꼬뜨 뒤 론 (Cotes-du Rhone)",셀리에 데 프린스 (Cellier des Princes),14%,"GSM (그르나슈 80%, 시라 15%, 무르베드르 5%)","39,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1559
75,피에르 뤼통 레드,PIERRE LURTON BORDEAUX RED,Red,프랑스,보르도,피에르 뤼통(Pierre Lurton),14.5%,"메를로 (Merlot) 50%, 까베르네 프랑 (Caberent Franc) 30%, 까베르네 소비뇽 (Caberent Sauvignon) 20%","45,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1534
76,닥터 린드만 빈90 모스카토,LINDEMAN'S BIN 90 MOSCATO,Sweet,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),8%,머스캣/고르도 (Muscat/Gordo),"20,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1381
77,맥스 리제르바 시라,MAX RESERVA SYRAH,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,14%,시라(Syrah) 100%,"35,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=770
78,리지니 브루넬로 디 몬탈치노,LISINI BRUNELLO DI MONTALCINO,Red,이탈리아,"이태리, 토스카나",AZIENDA LISINI,14.5%,산지오베제 (Sangiovese) 100%,"180,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2657
79,샤또 라 카데리 에스피릿 보르도 블랑,CHATEUA LA CADERIE ESPIRIT BORDEAUX BLANC,White,프랑스,"프랑스, 보르도",Chateau La Caderie,-,"세미용(SEMILLON) 70%, 뮈스카델(MUSCADELL) 30%","23,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2612
80,리치텔리 더 파티 말벡,RICCITELLI THE PARTY MALBEC,Red,아르헨티나,Mendoza / Uco Valley,리치텔리 (Matías Riccitelli),14%,말벡 (Malbec) 100%,"35,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2578
81,에이 투 지 오레곤 에센스 피노누아,A TO Z OREGON ESSENCE PINOT NOIR,Red,미국,오레곤,에이 투 지 와인웍스,14%,피노누아 100%,"65,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2563
82,크루즈 토니 포트,CRUZ TAWNY PORT,Red,기타 구대륙,두리엔세 (Duriense) / 포르토 (Porto),포르토 크루즈 (Porto Cruz),19%,"또우리가 나시오날(Touriga Nacional), 또우리가 프랑카(Touriga Franca), 띤따 바호카(Tinta Barroca)","30,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2540
83,돈 루치아노 브뤼,DON LUCIANNO BRUT,Sparkling,스페인,스페인,제이 가르시아 까리용,11%,"마카베오, 아이린",,3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1804
84,돈 루치아노 모스카토,DON LUCIANO MOSCATO,Sweet,스페인,스페인,제이 가르시아 까리용,7%,모스카토 100%,,3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1803
85,보리우 빈야드(BV) 캘리포니아 카베르네 소비뇽,BV CALIFORNIA CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아",보리우 빈야드 (Beaulieu Vineyard),13.6%,까베르네 소비뇽,"35,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1427
86,트림바크 리슬링,TRIMBACH RIESLING,White,프랑스,알자스,트림바크,13%,리슬링(Riesling) 100%,"34,900원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=740
87,캔달 잭슨 빈트너스 리저브 카베르네 소비뇽,KENDALL JACKSON VINTNER'S RESERVE CABERNET SAUVIGNON,Red,미국,캘리포니아,잭슨 패밀리 와인,13.5%,"까베르네 소비뇽(Carbernet Sauvignon)92%, 까베르네 프랑(Cabernet Franc)4%쁘띠 베르도(Petit Verdot) 3%, 메를로(Merlot) 1%","55,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=495
88,프랑수아 라베 피노누아,FRANCOIS LABET PINOT NOIR,Red,프랑스,"프랑스,코르시카",Francois Labet,12%,피노 누아(PINOT NOIR) 100%,"19,900원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2770
89,우나니메 말벡,UNANIME Malbec,Red,아르헨티나,멘도사 (Mendoza),페나플로 (Penaflor),14.5%,말벡 (Malbec) 100%,"70,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2636
90,산 텔모 리저브 말벡,SAN TELMO RESERVE MALBEC,Red,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),13.7%,말벡(MALBEC) 100%,"13,900원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2623
91,닥터루젠 레드 슬레이트 리슬링 드라이,DR. LOOSEN RED SLATE RIESLING DRY,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,-,리슬링 (RIESLING) 100%,"27,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2606
92,아라스 그랑 빈티지,Arras Grand Vintage,Sparkling,호주,타즈매니아,하우스 오브 아라스,12.5%,"샤르도네(CHARDONNAY) 65%, 피노누아(PINOT NOIR) 35%","99,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2586
93,도멘 디지오아 로이예 부르고뉴 피노 누아,DOMAINE DIGIOIA ROYER BOURGOGNE PINOT NOIR,Red,프랑스,"샹볼 뮈지니, 모레이 생 드니",-,14%,피노 누아 100%,"70,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1917
94,펫저 안토니 힐 카베르네 소비뇽,FETZER ANTHONY'S HILL CABERNET SAUVIGNON,Red,미국,"캘리포니아, 멘도치노 카운티, 안토니즈 힐",펫저 / 콘차 이 토로,13.5%,카베르네 소비뇽 100%,,3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1886
95,아콩카구아 알토 카베르네 소비뇽,ACONCAGUA ALTO CABERNET SAUVIGNON,Red,칠레,아콩카구아 알토,비냐 에라주리즈 (Errazuriz),-,"카베르네 소비뇽 88%, 쁘띠 베르도 7%, 카베르네 프랑 5%",,3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1649
96,로시뇰 코르누 부르고뉴 피노누아,ROSSIGNOL CORNU BOURGOGNE COTE D'OR PINOT NOIR,Red,프랑스,부르고뉴,로시뇰 코르우 에 피스 ( Rossignol Cornu et Fils ),-,피노 누아 (Pinot Noir),"45,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1598
97,빌라 엠 골드,VILLA M GOLD,Sweet,이탈리아,"피에몬테, 아스티",산테로 S.P.A. (Santero S.P.A.),5.5%,모스카토 (Moscato) 100%,"32,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1509
98,오르벤,ORBEN,Red,스페인,"스페인, 리오하",보데가스 오르벤 /아르테비노 (Bodegas Orben / Artevino),14.2%,템프라니요 (Tempranillo) 100%,"65,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1440
99,쿠네 베르데호,CUNE RUEDA VERDEJO,White,스페인,루에다,쿠네,12.7%,베르데호 (Verdejo) 100%,,3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1260
100,구아도 알 타소 비앙코,GUADO AL TASSO BIANCO,White,이탈리아,"토스카나, 볼게리",안티노리,12.5%,베르멘티노(Vermentino) 100%,"60,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=950
101,[하프와인] 알파카 브뤼,ALPACA BRUT,Sparkling,칠레,-,VSPT,12%,샤르도네 (Chardonnay) 100%,"15,000원",3.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2707
102,인비보 X 사라 제시카 파커 말보로 소비뇽 블랑,INVIVO X SJP MALBOROUGH SAUVIGNON BLANC,White,뉴질랜드,뉴질랜드,INVIVO X SJP,13%,소비뇽 블랑(SAUVIGNON BLANC) 100%,"27,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2686
103,산 텔모 말벡,SAN TELMO MALBEC,Red,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),13.3%,말벡(MALBEC) 100%,"9,900원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2620
104,아라스 블랑드 블랑,ARRAS BLANC DE BLANC NV,Sparkling,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,12.5%,샤르도네(CHARDONNAY) 100%,"52,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2590
105,아라스 브뤼 엘리트,ARRAS BRUT ELITE,Sparkling,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,12.5%,"피노누아 49%, 샤르도네 42%, 피노 므니에 9%","62,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2585
106,룩벨레어 로제 팬텀,LUC BELAIRE ROSE FANTOME,Rose,프랑스,프로방스 꼬뜨 다쥐르,룩 벨레어,12.5%,"90% 시라, 5% 그르나슈, 5% 쌩소",,3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2546
107,바독 샤르도네,BAR DOG CHARDONNAY,White,미국,캘리포니아,바 독,13.5%,샤르도네,"32,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1937
108,알파카 카베르네 소비뇽,ALPACA CABERNET SAUVIGNON,Red,칠레,센트럴밸리,,,"카베르네 소비뇽(Cabernet Sauvignon) 85%, 시라(Syrah) 15%","15,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1642
109,닥터 린드만 빈65 샤르도네,LINDEMAN'S BIN 65 CHARDONNAY,White,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),13.5%,샤르도네 (Chardonnay),"20,000원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1379
110,빌라 엠,VILLA M,Sweet,이탈리아,피에몬테,지아니 갈리아르도 (Gianni Gagliardo),5%,모스카토 (Moscato) 100%,"23,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1368
111,캔달 잭슨 빈트너스 리저브 메를로,KENDALL JACKSON VINTNER'S RESERVE MELOT,Red,미국,캘리포니아,잭슨 패밀리 와인,13.5%,"메를로 (Merlot) 94.6%, 말벡 (Malbec) 3.8%, 까베르네 소비뇽 (Cabernet Sauvignon) 0.7%, 까베르네 프랑 (Cabernet Franc) 0.5%, 쁘띠 베르도 (Petit Verdot) 0.3%, 까르메네르 (Carmenere) 0.1%,","55,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1073
112,에스쿠도 로호 리제르바 샤르도네,ESCUDO ROJO RESERVA CHARDONNAY,White,칠레,카사블랑카 밸리,바롱 필립 드 로칠드 마이포 칠레,14%,샤르도네 (Chardonnay) 100%,"34,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1051
113,프루노토 바롤로,PRUNOTTO BAROLO,Red,이탈리아,"피에몬테, 바롤로","프루노토, 안티노리",13.5%,네비올로 (Nebbiolo) 100%,"79,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=954
114,에리미나 화이트,HERRI MINA WHITE,White,프랑스,"남서부, 이룰레기",장 끌로드 베루에,13%,"그로 망상 (Gros Manseng), 쁘띠 꾸르뷔 (Petit Courbu), 쁘띠 망상 (Petit Manseng)","75,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=938
115,루이 라뚜르 샤블리 1등급,LOUIS LATOUR CHABLIS 1ER CRU,White,프랑스,"부르고뉴, 샤블리",루이 라뚜르,13%,샤르도네 (Chardonnay) 100%,"95,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=835
116,도멘 드 마르꾸 꼬뜨 뒤 론,DOMAINE DE MARCOUX COTES DU RHONE,Red,프랑스,"론 밸리, 남부 론",도멘 드 마르꾸,14%,"그르나슈 (Grenache) 80%, 무르베드르 (Mourvedre) 20%","49,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=742
117,수카르디 세리에 에이 말벡,ZUCCARDI SERIE A MALBEC,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),14.5%,말벡(MALBEC) 100%,"21,900원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=3039
118,[매그넘와인] 샤또 보네 리저브 레드 1500ml,CHATEAU BONNET RESERVE RED,Red,프랑스,보르도,앙드레 뤼통,13%,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%","90,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2796
119,닥터루젠 그라쳐 돔프롭스트 리슬링 드라이 GG,DR. LOOSEN GRAACHER DOMPROBST RIESLING GG,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,12.5%,리슬링(RIESLING) 100%,"66,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2610
120,알다바 그란 레세르바 카베르네 소비뇽,ALDABA GRAN RESERVA CABERNET SAUVIGNON,Red,칠레,라펠 밸리,산타 크리스티나,14.5%,카베르네 소비뇽 100%,,3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1855
121,마스 안데스 카베르네 소비뇽,MAS ANDES CABERNET SAUVIGNON,Red,칠레,센트럴밸리,바롱 필립 드 로칠드 칠레,13.5%,카베르네 소비뇽 100%,,3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1819
122,도멘 드 발무아신 피노 누아,DOMAINE DE VALMOISSINE PINOT NOIR,Red,프랑스,"프로방스, 바",루이 라뚜르,13%,피노 누아,,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1772
123,피에르 뤼통 화이트,PIERRE LURTON BORDEAUX WHITE,White,프랑스,보르도,피에르 뤼통(Pierre Lurton),12%,"소비뇽 블랑 (Sauvignon Blanc) 70%, 세미용 (Semillon) 30%","50,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1535
124,산타 크리스티나 비앙코,SANTA CRISTINA BIANCO,White,이탈리아,움브리아,안티노리,12%,"그레케토(Grechetto), 프로카니코(Procanico)","19,900원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=946
125,마푸 리제르바 샤르도네,Mapu Reserva Chardonnay,White,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 칠레,14%,샤르도네(Chardonnay) 100%,"21,000원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2633
126,산 텔모 리저브 카베르네 소비뇽,SAN TELMO RESERVE CABERNET SAUVIGNON,Red,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),13.7%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"17,900원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2622
127,배티그 비노 비네도 피노누아,BAETTIG VINO VINEDO PINOT NOIR,Red,칠레,"칠레, 마에이코 밸리",BAETTIG WINE(VIA VINICA SPA),13%,피노누아 (PINOT NOIR) 100%,"55,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2603
128,사이드웨이 피노 누아,SIDEWAYS PINOT NOIR,Red,칠레,카사블랑카 밸리,VIA WINES,13.5%,피노 누아 100%,"30,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1915
129,셀리에 데 프린스 꼬뜨뒤론 샤또네프 뒤 파프,CELLIER DES PRINCES CHATEAUNEUF DU PAPE,Red,프랑스,"남부 론 (Southern Rhone), 샤또네프뒤파프(Chateauneuf du pape)",셀리에 데 프린스 (Cellier des Princes),14%,"GSM (그르나슈 90%, 시라 5%, 무르베드르 5%)","80,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1561
130,본테라 카베르네 소비뇽,BONTERRA CABERNET SAUVIGNON,Red,미국,"캘리포니아, 멘도치노 카운티, 안토니즈 힐",펫져 (Fetzer) /소유주 : 칠레 콘차 이 토로 (Concha y Toro),13.8%,카베르네 소비뇽 100%,"50,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1497
131,샤또 보네 레드,CHATEAU BONNET RED,Red,프랑스,보르도,앙드레 뤼통,13%,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%","38,000원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1008
132,빌라 안티노리 비앙코,VILLA ANTINORI BIANCO,White,이탈리아,토스카나,안티노리 (Antinori),12%,"트레비아노(Trebbiano), 말바시아(Malvasia) 50%, 피노 블랑(Pinot Blanc), 피노 그리지오(Pinot Grigio) 35%, 리슬링(Riesling) 15%","19,900원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=945
133,샤또 드 샤미레 메르퀴레 레드,CHATEAU DE CHAMIREY MERCUREY,Red,프랑스,"부르고뉴, 꼬뜨 샬로네즈, 메르퀴레",샤또 드 샤미레,13.5%,피노 누아 (Pinot Noir) 100%,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=686
134,톨 퍼들 빈야드 피노누아,TOLPUDDLE VINEYARD PINOT NOIR,Red,호주,"호주, 타스매니아",SHAW AND SMITH,12.5%,피노 누아(PINOT NOIR) 100%,"110,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2753
135,라운드 힐 샤르도네,Round Hill Chardonnay,White,미국,캘리포니아,러더포드 와인 컴퍼니 (Rutherford Wine Company),13%,샤르도네(Chardonnay) 100%,,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2719
136,바인리히 리슬링,WEINREICH RIESLING,White,독일,"독일, 라인헤센",WEINREICH,12.5%,리슬링(RIESLING) 100%,"14,900원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2660
137,토르치코다,TORCICODA,Red,이탈리아,"풀리아, 살렌토",토마레스카 / 안티노리,14%,프리미티보 100%,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1879
138,"바디아 아 파시냐노, 키안티 클라시코 그란 셀레찌오네",BADIA A PASSIGNANO GRAN SELEZIONE,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리 (Antinori),14%,산지오베제 (Sangiovese) 100%,"140,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1407
139,카멜로드 몬테레이 샤르도네,CARMEL ROAD MONTEREY CHARDONNAY,White,미국,"캘리포니아, 몬테레이",잭슨 패밀리 와인,13.5%,샤르도네 (Chardonnay) 100%,"70,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1204
140,샤또 크뤼조 레드,CHATEAU CRUZEAU RED,Red,프랑스,"보르도, 빼삭 레오냥",앙드레 뤼통,12.5%,"까베르네 소비뇽(Cabernet Sauvignon) 55%, 메를로(Merlot) 43%, 까베르네 프랑(Cabernet Franc) 2%","80,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=566
141,빌라 안티노리 로쏘,VILLA ANTINORI ROSSO,Red,이탈리아,토스카나,안티노리,13.5%,"산지오베제(Sangiovese)55%, 까베르네 소비뇽(Cabernet Sauvignon) 25%,메를로(Merot) 15%, 시라(Syrah) 5%","36,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=505
142,루이 부요 크레망 드 부르고뉴 밀레짐,LOUIS BOUILLOT CREMANT DE BOURGOGNE BRUT MILLESIME,Sparkling,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),12%,"샤르도네(CHARDONNAY) 42% , 피노 누아(PINOT NOIR) 35% , 알리고테(ALIGOTE) 15% , 가메(GAMAY) 8%","35,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2781
143,젠틀맨즈컬렉션 토니,GENTLEMAN'S COLLECTION TAWNY,Red,호주,호주,Treasury Wine Estate,17.5%,"쉬라즈(SHIRAZ), 마타로(MATARO), 그르나슈(GRENACHE), 모스카토(MUSCAT)","35,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2756
144,폴 당장 뀌베 `47,PUAL DANGIN CUVEE `47,Champagne,프랑스,상파뉴,SARL DANGIN,-,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY)","90,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2729
145,퍼스트 드랍 풀 팻 레드,FIRST DROP FULL FAT RED,Red,호주,-,FIRST DROP WINES,14.5%,"쉬라즈(SHIRAZ)65%,몬테풀치아노(MONTEPULCIANO)18%, 네비올로(NEBBIOLO)8%,그르나슈(GARNACHA)5%,모나스트렐(MONASTRELL)4%","19,900원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2699
146,퍼스트 드랍 풀 팻 화이트,FIRST DROP FULL FAT WHITE,White,호주,-,FIRST DROP WINES,13 %,"아르네이스(ARNEIS) 66% , 알리아니코(AGLIANICO) 21% , 샤르도네(CHARDONNAY) 13%","19,900원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2698
147,리지니 로소 디 몬탈치노,LISINI ROSSO DI MONTALCINO,Red,이탈리아,"이태리, 토스카나",AZIENDA LISINI,14.5%,산지오베제 (Sangiovese) 100%,"80,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2656
148,닥터루젠 블루 슬레이트 리슬링 카비넷,DR. LOOSEN BLUE SLATE RIESLING KABINETT,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,-,리슬링 (RIESLING) 100%,"30,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2608
149,리치텔리 헤이 말벡 로제,RICCITELLI HEY MALBEC ROSE,Rose,아르헨티나,멘도사 (Mendoza),리치텔리 (Matías Riccitelli),12%,말벡 (Malbec) 100%,"29,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2577
150,하디스 스탬프 샤르도네 세미옹,HARDYS STAMP CHARDONNAY SEMILLON,White,호주,호주 (South Eastern Australia),하디스 (Hardys),13%,샤르도네 (Chardonnay) & 세미옹 (Semillon),"14,900원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2058
151,바독 카베르네소비뇽,BAR DOG CABERNET SAUVIGNON,Red,미국,캘리포니아,바 독,13.5%,"카베르네 소비뇽 95%, 쁘띠 베르도 2%","32,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1935
152,캔달 잭슨 빈트너스 리저브 진판델,KENDALL JACKSON VINTNER'S RESERVE ZINFANDEL,Red,미국,"캘리포니아, 멘도시노 카운티",잭슨 패밀리 와인즈,14.5%,"진판델 78%, 쁘띠 시라 18%, 시라 3%, 알리 칸테 부쉐 1%",,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1876
153,빌라 엠 줄리아,VILLA M JULIA,Sweet,이탈리아,베로나,,,"가르가네가, 피노 비앙코",,,https://www.winenara.com/goods/goods_view.php?goodsNo=1842
154,루이 라뚜르 마르사네,LOUIS LATOUR MARSANNAY,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 마르사네",루이 라뚜르,13%,피노 누아 100%,"65,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1784
155,알파카 프리미엄 피노누아,ALPACA PREMIUM PINOT NOIR,Red,칠레,센트럴밸리,,,피노 누아(Pinot Noir) 100%,"20,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1645
156,카사솔레,CASASOLE,White,이탈리아,오르비에토,산타 크리스티나 / 안티노리 (Santa Cristina / Antinori),10.5%,"프로카니코, 그레케토","20,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1639
157,아콩카구아 알토 까르메네르,ACONCAGUA ALTO CARMENERE,Red,칠레,아콩카구아 밸리,비냐 에라주리즈 (Vina Errazuriz),14%,까르메네르 (Carmenere) 100%,"52,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1510
158,토마레스카 보카 디 루포,BOCCA DI LUPO,Red,이탈리아,"풀리아, 카스텔 델 몬테(Castel del Monte)",토마레스카 (Tormaresca) / 안티노리 (Antinori),14%,알리아니코 (Aglianico) 100%,"150,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1485
159,펫저 메를로,FETZER MERLOT,Red,미국,캘리포니아,펫져 (Fetzer),13.66%,메를로 100%,"40,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1478
160,디아블로 소비뇽 블랑,DIABLO SAUVIGNON BLANC,White,칠레,"카사블랑카,리마리,라펠 밸리",콘차 이 토로,12.5%,소비뇽 블랑 (Sauvignon Blanc) 100%,"12,900원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1043
161,샤또 보네 화이트,CHATEAU BONNET WHITE,White,프랑스,"보르도, 앙트르 드 메르",앙드레 뤼통,12%,"소비뇽 블랑(Sauvignon Blanc) 50%, 세미용(Semillon) 40%, 뮈스까델(Muscadelle) 10%","38,000원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1009
162,베커스 그르나슈,BEKKERS GRENACHE,Red,호주,맥라렌 베일,베커스(BEKKERS),14.5%,그르나슈 (GRENACHE) 100%,"120,000원",4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2810
163,스피릿 오브 스시,SPIRIT OF SUSHI,White,프랑스,프랑스,,,"소비뇽 블랑(SAUVIGNON BLANC), 뮈스카델(MUSCADELLE), 세미옹(SEMILLION)","35,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2785
164,마틴 레이 소노마 코스트 피노누아,MARTIN RAY SONOMA COAST PINOT NOIR,Red,미국,"미국, 캘리포니아, 소노마",MARTIN RAY and ANGELINE WINERY,14.1%,피노누아(PINOT NOIR) 100%,"42,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2744
165,닥터루젠 그라쳐 힘멜라이히 리슬링 드라이 '알테레벤' GG,"DR. LOOSEN GRAACHER HIMMERLREICH RIESLING GG ""ALTE REBEN"" DRY",White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,-,리슬링 (RIESLING) 100%,"66,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2609
166,에이 투 지 오레곤 버블스 로제,A TO Z OREGON BUBBLES ROSE,Sparkling,미국,오레곤,에이 투 지 와인웍스,12.5%,"피노 누아(PINOT NOIR) 90%, 샤르도네(CHARDONNAY) 10%","35,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2561
167,캔달 잭슨 빈트너스 리저브 샤르도네,KENDALL JACKSON VINTNER'S RESERVE CHARDONNAY,White,미국,캘리포니아,잭슨 패밀리 와인,13.5%,샤르도네 (Chardonnay) 100%,"45,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2542
168,하디스 스탬프 카베르네 메를로,HARDYS STAMP CABERNET MERLOT,Red,호주,호주 (South Eastern Australia),하디스 (Hardys),11.5%,카베르네 소비뇽 (Cabernet Sauvignon) & 메를로 (Merlot),"14,900원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2057
